filename,category,issue_type,severity,issues_found,orig_exec_ms,rewritten_exec_ms,verdict
c01_correlated_subquery_v1.sql,correlated_subquery,correlated subquery,high,True,70.512,24.524,IMPROVED (65.2% faster)
c01_correlated_subquery_v2.sql,correlated_subquery,correlated subquery,high,True,67.746,22.382,IMPROVED (67.0% faster)
c01_correlated_subquery_v3.sql,correlated_subquery,correlated subquery,high,True,63.45,21.817,IMPROVED (65.6% faster)
c01_correlated_subquery_v4.sql,correlated_subquery,correlated subquery,high,True,68.948,23.449,IMPROVED (66.0% faster)
c01_correlated_subquery_v5.sql,correlated_subquery,correlated subquery,high,True,66.102,23.104,IMPROVED (65.0% faster)
c01_correlated_subquery_v6.sql,correlated_subquery,correlated subquery,high,True,61.388,19.565,IMPROVED (68.1% faster)
c01_correlated_subquery_v7.sql,correlated_subquery,correlated subquery,high,True,69.369,23.918,IMPROVED (65.5% faster)
c01_correlated_subquery_v8.sql,correlated_subquery,correlated subquery,high,True,69.341,19.935,IMPROVED (71.3% faster)
c02_select_star_v1.sql,select_star,select *,medium,True,14.325,13.703,NO_MEANINGFUL_CHANGE
c02_select_star_v2.sql,select_star,select *,medium,True,14.492,13.483,NO_MEANINGFUL_CHANGE
c02_select_star_v3.sql,select_star,select *,medium,True,14.039,12.359,NO_MEANINGFUL_CHANGE
c02_select_star_v4.sql,select_star,select *,medium,True,12.76,11.602,NO_MEANINGFUL_CHANGE
c02_select_star_v5.sql,select_star,select *,medium,True,16.155,16.777,NO_MEANINGFUL_CHANGE
c02_select_star_v6.sql,select_star,select *,medium,True,14.311,13.11,NO_MEANINGFUL_CHANGE
c02_select_star_v7.sql,select_star,select *,medium,True,17.22,19.878,WORSE (15.4% slower)
c02_select_star_v8.sql,select_star,select *,medium,True,19.71,17.99,NO_MEANINGFUL_CHANGE
c03_not_in_nulls_v1.sql,not_in_nulls,NOT IN with nulls,high,True,9.759,10.601,NO_MEANINGFUL_CHANGE
c03_not_in_nulls_v2.sql,not_in_nulls,NOT IN with nulls,high,True,11.319,10.532,NO_MEANINGFUL_CHANGE
